CST_U_1,CST_U_2,CST_U_3,CST_U_4,CST_U_5,CST_U_6,CST_L_1,CST_L_2,CST_L_3,CST_L_4,CST_L_5,CST_L_6,AOA,RE_N,CD,CL
0.31015818,0.44567984,0.48308602,0.34347341,0.30283899,0.28526908,-0.11211743,-0.0160978077,-0.100405592,8.74279867e-05,-0.0668815585,-0.0357606412,13.8988,80966.6926,0.39998621054798866,1.178735530931264
0.2111406,0.20354557,0.17734915,0.20546284,0.14480172,0.21827785,-0.21210522,-0.2013244,-0.18065633,-0.20216996,-0.14699232,-0.2173399,10.4191,81702.3997,0.1802243501188025,0.6476845847457627
0.07427539,0.13472079,0.06503931,0.2553302,0.12238205,0.07878638,-0.05972967,-0.07563584,-0.04767948,-0.15832856,-0.08491688,-0.03443819,3.1094,73168.697,0.024506218924629453,0.3277456589719331
0.20944583,0.20504071,0.36657433,0.19563819,0.24987608,0.06386078,-0.1168715,-0.10137254,-0.15582624,-0.08489536,-0.30150534,-0.01490235,12.9928,99571.3697,0.2669969541960459,0.9690641411309278
0.2341357,0.33343884,0.27469757,0.38908452,0.27534618,0.3539579,-0.09060757,-0.09854652,0.0936496,0.28122097,0.23340541,0.19948417,4.2281,33168.9802,0.08060398973265435,0.4146189750477403
0.10259206,0.12452898,0.14625092,0.16924503,0.12730314,0.16678035,-0.07462537,-0.06327246,-0.07565646,-0.11314104,0.01413818,-0.07475279,14.9859,61970.7826,0.29797771711794396,1.133568171087655
0.1663009,0.30467253,0.22969157,0.27359924,0.12300376,0.30064873,-0.08352429,0.05808852,-0.06607137,0.00752482,0.02706669,-0.07545278,14.1634,40957.2154,0.2506550321341956,1.168080495311237
0.11031879,0.10579456,0.15613109,0.13825556,0.10932885,0.1095263,-0.1103188,-0.10579456,-0.15613109,-0.13825556,-0.10932885,-0.1095263,12.4959,92760.0046,0.24041045224789043,0.936929144888643
0.18759579,0.28551814,0.22226735,0.38425659,0.15818053,0.27783,-0.10423935,-0.17998931,-0.10640594,-0.24407728,-0.35427406,0.06609036,14.7948,30344.7861,0.3079175856488549,1.0171685672264632
0.12721898,0.39210013,0.12501116,0.42001492,0.05957704,0.47690302,-0.06769455,0.02852382,-0.01800192,0.01136773,0.01035922,-0.08070864,11.5291,37512.7369,0.18804367034516287,0.9497659028682549
0.24285317,0.49025907,0.09157077,0.61155959,0.00651634,0.38280244,-0.11985087,0.0743894,-0.06209313,-0.00514473,0.0214199,-0.07837026,1.7604,82282.262,0.09719631580803573,0.4137462121450893
0.08522548,0.09971956,0.07016834,0.12808917,0.05121021,0.04910202,-0.0852255,-0.09971955,-0.07016836,-0.12808914,-0.05121024,-0.04910201,11.4775,86684.3103,0.19085876602323507,0.8885523915996425
0.17502733,0.26384408,0.17655661,0.26161197,0.102089,0.13538997,-0.14376776,-0.09392833,-0.10859977,-0.13685883,-0.09722248,-0.1674239,19.4149,38847.8281,0.4387538242120875,1.1419117480163146
0.13082769,0.09684999,0.08744822,0.07239477,0.05985487,0.0571039,-0.13082771,-0.09684999,-0.08744823,-0.07239477,-0.05985487,-0.0571039,13.7469,56351.0022,0.29632460027186225,1.0933982254644312
0.10479446,0.27533032,0.11182695,0.33831251,0.12832811,0.25854961,-0.05529234,0.1256584,0.09189856,0.10618355,0.08422395,0.03064937,1.0659,72093.6127,0.0329281284731114,0.4115702088988476
0.38139475,0.50482752,0.31834471,0.54854034,0.36029196,0.46441439,-0.1639513,-0.06479128,-0.11046521,0.05545242,0.4069876,0.20589135,10.947,30916.2235,0.3305807545035824,1.0178017122313203
0.43127817,0.57655778,0.50819379,0.45049448,0.25776455,0.5222611,-0.43093994,-0.5739189,-0.51381506,-0.44447051,-0.26150708,-0.5211391,17.9179,38048.9643,0.5510814635466035,0.48771913750795814
